abductor	m. | Anat. | lat.
abdutivo	adj.
abdutor	m. | Anat. | lat.
abduzir	v. t. | lat.
abeatador	adj.
abeatar	v. t.
abêbera	f.
abeberar	v. t. | cast. | fr. | it. | lat. | Cf. | vb.
abebra	f. | V.
abecar	v. t. | Bras.
abecê	m.
abecedário	m. | lat.
abechedo	m. | Prov. trasm.
abechucho	m. | Prov. trasm.
abecoínha	f. | prov.
abegão	m. | Prov. alent. | Prov. minh. | lat. | hyp.
abegão	m. | prov. | cast.
abegôa	
abegoaria	f.
abegoira	f. | Ant.
abegoura	f. | Ant.
abeirar	v. t.
abeixamim	m. | Ant.
abelha	f. | qual. | ﬁg. | lat.
abelha-flôr	f.
abelhal	f.
abelhão	m.
abelhar	v. i. | prov.
abelharuco	m. | Cp. | cast.
abelheira	f. | as.
abelheiro	m.
abelhina	f.
abelhuar-se	v. | p. | des. | Cf. | diccion.
abelhudamente	adv.
abelhudice	f.
abelhudo	adj.
abélia	f. | n. p.
abeliceia	f.
abelidar-se	v. p.
abellota	f.
abelmeluco	m.
abelmosco	m. | ár. | Cp.
abeloira	f. | as.
abelota	f.
abeloura	f. | as.
abém!	interj. | Ant.
abemolado	adj.
abemolar	v. t. | Mús. | ﬁg.
abencerragens	m. pl. | n. p.
abencerrajens	m. pl. | n. p.
abençoadeiro	m.
abençoado	adj.
abençoador	m.
abençoamento	m. | Cf.
abençoar	v. t. | V. | p. | Cf. | diccion.
abençoável	adj. | Cf. | Agr.
abendiçoar	v. t.
aberém	m. | Bras.
aberema	f.
abéria	f. | Bot.
aberingelado	adj.
aberração	f. | lat.
aberrante	adj. | lat.
aberrar	v. i. | lat.
aberrativo	adj. | neol.
aberta	f. | as.
abertamente	adv.
aberto	adj. | t. | m. | num. | Cf. | lat.
abertoiras	f. pl.
abertona	f. | Náut.
abertura	f. | Mús. | ﬁg.
abesantar	v. t.
abesconinha	f. | prov.
abeses	m. pl. | Cf.
abesoirar	v. t. | pop.
abesoiro	m.
abesourar	v. t. | pop.
abesouro	m.
abespa	f. | V.
abespinhadamente	adv.
abespinhado	adj.
abespinhar-se	v. p.
abesso	m. | Ant.
abestruz	m. | f.
abestunto	m. | Prov. trasm.
abeta	f.
abetarda	f.
abetardado	adj.
abete	m. | lat.
abeterno	adv. | Cf. | loc. | lat.
abeto	m. | lat.
abetoiro	m.
abetoninha	f.
abetum	m. | Ant.
abetumado	adj. | Prov. trasm. | ﬁg. | Cf.
abetumador	m.
abetumar	v. t.
abexigar	v. t. | fam.
abexim	m. | Adj. | n. p.
abezelgado	adj.
abezerrado	adj.
abia	f.
abibe	f.
abibliotecar	v. t.
abibliothecar	v. t.
abicar	v. t. | v. i.
abichar	v. t. | fam.
abicheiro	m. | Prov. trasm. | Prov. beir. | lat. | hyp.
abichornado	adj. | Bras. | Cp.
abieiro	m.
abiético	adj.
abietina	f. | fem.
abietíneas	f. pl.
abietíneo	adj. | lat.
abietino	adj.
abieto	m.
abiga	f.
abigoiro	m. | Prov. beir. | Cp. | lat. | hyp.
abilhamento	m. | Ant.
abilhar	v. t. | Ant. | fr.
abinício	adv. | Cf. | lat.
abio	m.
abiorama	f. | Bras.
abiótica	f.
abiótico	adj. | gr.
abipão	m.
abirritaçao	f.
abiscoitar	v. t. | fam. | Bras.
abismado	adj.
abismal	adj.
abismar	v. t.
abismo	m. | ﬁg. | b. lat.
abissal	Adj. | as.
abissínio	m.
abisso	m. | gr.
abita	f. | Náut. | germ.
abitar	v. t.
abitílio	m. | as. | corr.
abitolar	v. t.
abitoninha	f. | Prov. beir.
abivacar	v. t. | Cf.
abjecção	f. | lat.
abjectamente	adv.
abjecto	adj. | m. | lat.
abjeição	f. | V.
abjudicação	f. | lat.
abjudicar	v. t. | lat.
abjugar	v. t.
abjunção	f. | lat.
abjuncção	f. | lat.
abjuração	f. | lat.
abjurador	m.
abjurante	m. e adj.
abjurar	v. | t. | lat.
abjuratório	adj.
abjurgar	v. t. | lat.
ablação	f. | Gram. | lat.
ablactação	f. | lat.
ablactar	v. t. | lat.
ablamelares	f. pl. | Bot.
ablamellares	f. pl. | Bot.
ablaminares	f. pl.
ablânia	f.
ablaqueação	f. | lat.
ablaquear	v. t. | as. | lat.
ablaquecer	v. t. | Ant.
ablativo	adj. | m. | Gram.
ablator	m.
ablectos	m. pl. | lat.
ablefaria	f.
abléfaro	adj. | gr.
ablegação	f. | lat.
ablegado	m. | lat.
ablegar	v. t. | lat.
ableitar	v. t. | V.
ablepharia	f.
ablépharo	adj. | gr.
ablução	f. | lat.
abluente	adj. | m. | lat.
abluir	v. t. | lat.
ablutor	m. | lat.
abnegação	f. | lat.
abnegador	m. | lat.
abnegar	v. t. | lat.
abneto	m. | V.
aboamento	m. | Carp.
abóbada	f. | as. | cast.
abobadado	adj.
abobadar	v. t.
abobadilha	f. | Prov. alent.
abobadilheiro	m. | Prov. alent.
abobar-se	v. p.
abóbeda	f. | Ant. | V.
abóbora	f. | ﬁg.
aboborado	adj. | ﬁg.
aboboral	m.
aboborar	v. t. | V. | Cf.
aboboreira	f.
aboborinha-do-mato	f. | Bras.
abobra	f. | der. | pop.
abocador	m.
abocadura	f.
aboçamento	m.
abocanhar	v. t.
abocanhar	v. i. | prov.
aboçar	v. t.
abocetar	v. t.
abochornado	adj.
abôço	m. | Náut.
abodegação	f.
abodegado	adj. | Bras.
abodegar	v. t. | Bras. | n.
abofé	adj. | Cf.
